"","genes","logFC","logCPM","F","PValue","FDR"
"22686","KIAA1199",3.65807361384276,5.37389896865926,225.604097156431,4.30294593912134e-13,1.01872245108698e-08
"3118","CDH3",5.49343578377243,4.45056608758074,156.591198353869,1.62523560841548e-11,1.41087892364019e-07
"35271","TRIB3",3.81135178932173,4.57760769910861,155.067144329105,1.78780856216287e-11,1.41087892364019e-07
"3763","COL11A1",5.83675800359967,4.57063523835438,137.575726223768,5.68828201431527e-11,3.36675191722285e-07
"5476","ENC1",1.61616030457763,6.70073911948932,131.399064774864,8.82770448000804e-11,3.82546185305886e-07
"34739","TMEM132A",2.53068038791565,4.23178071737398,129.879804183281,9.86235785888688e-11,3.82546185305886e-07
"36371","WNT2",5.54794406588945,2.21409734072533,128.022336506455,1.13107636626872e-10,3.82546185305886e-07
"4171","CTHRC1",4.02421693029181,3.9564689389179,117.52442610473,2.53772899574153e-10,7.51009174677258e-07
"31719","SALL4",3.28687285617946,0.947104543369893,115.786466294519,2.9181287101057e-10,7.67629969019471e-07
"4100","CST1",6.57203945676686,2.60772695205497,106.203934645285,6.51722886832894e-10,1.45030490709197e-06
"140","ACAN",4.17849261369648,3.12460816081591,105.820662335478,6.73848108891728e-10,1.45030490709197e-06
"9104","ENSG00000232803.1",3.25753945481219,2.72189931478545,104.773280959136,7.38599324625153e-10,1.45719491754171e-06
"32742","SLCO4A1",3.27555900036356,4.60753719713971,103.329082812953,8.39268097248165e-10,1.47410459890872e-06
"19232","ETV4",4.44981796785864,4.03754743953841,102.903760359598,8.71698601255421e-10,1.47410459890872e-06
"23701","LOC100127888",3.24675733214267,2.5008722783221,102.024336401784,9.43174341328743e-10,1.48864350206387e-06
"296","ADAMTS2",2.76147945963785,4.83492122177924,98.3827164993959,1.31514739515196e-09,1.91114116761846e-06
"19201","ESM1",5.61858386272887,1.98945482003518,97.3146656495374,1.45263869969721e-09,1.91114116761846e-06
"3775","COL1A1",3.41214357110559,9.12177661116345,97.284545930081,1.45673668043622e-09,1.91114116761846e-06
"22438","KAL1",2.69416688116254,2.83335657851126,96.426756011256,1.57890353112888e-09,1.91114116761846e-06
"5301","EGFL6",5.00208068170161,1.35392032102134,96.1905146092992,1.61448039503144e-09,1.91114116761846e-06
"26944","MMP11",3.22952479595533,4.63756791872634,94.3196311453625,1.92915544217529e-09,2.17489309969047e-06
"22181","INHBA",5.84773980226946,4.43745233645886,89.6821423969719,3.0381892747945e-09,3.12927259551175e-06
"15797","ENSG00000260577.1",5.16292623410476,0.967119540165698,89.6760066906675,3.0400536302754e-09,3.12927259551175e-06
"2696","CBX8",1.68080985236091,2.31998137248441,87.7003879488192,3.71059456435734e-09,3.66034692963166e-06
"495","AJUBA",2.7225538936144,3.96964729538632,86.9690130908207,3.99842823185001e-09,3.78651153556196e-06
"3427","CHPF",1.39840626869225,5.7384769666513,84.9233810994189,4.94108549361407e-09,4.49923842543512e-06
